,docid,string,label,start,end
72,13,Holanda,LOC,57,58
73,14,Martin de Gainza,PER,0,3
74,14,Miguel de Aramburo,PER,11,14
75,14,Hospital de los Caballeros,ORG,22,26
76,15,Pedro Montañes,PER,0,2
77,15,Martin de Gainza,PER,6,9
78,15,Moron,LOC,26,27
79,16,Pedro Montañes,PER,0,2
80,16,Martin de Gainza,PER,6,9
81,16,Moron,ORG,27,28
82,17,Martin de Gainza,PER,0,3
83,17,Juan de Ugarte,PER,11,14
84,17,Nueva España,LOC,19,21
85,18,Isabel Nuñez,PER,0,2
86,18,Martin de Gainza,PER,5,8
87,18,Marchena,LOC,20,21
88,18,segundas nupcias de F. de Soto,PER,27,33
89,18,Diego Arroyo,PER,36,38
90,18,Miguel de Gainza,PER,42,45
91,18,Martin de Gainza,PER,51,54
92,18,Leonor Rodriguez,PER,58,60
93,19,Miguel de Gainza,PER,0,3
94,19,Santa Iglesia,ORG,12,14
95,19,Sevilla,LOC,15,16
96,19,Lorenzo del Bao,PER,18,21
97,19,Sevilla,LOC,26,27
98,19,collacion de Santa Maria,LOC,29,33
99,19,Juan Picardo,PER,37,39
100,19,Anton de Aguilera,PER,46,49
101,19,Capilla del Sagrario,ORG,53,56
102,19,Catedral,ORG,58,59
103,19,Sevilla,LOC,60,61
104,19,Cristobal Rodriguez,PER,66,68
105,19,Medina-Sidonia,LOC,73,76
106,19,seis ducados de oro,MON,77,81
107,19,Juan de Caloña,PER,84,87
108,19,Aracena,LOC,101,102
109,19,un ducado de oro,MON,103,107
110,20,Julian Rodriguez,PER,0,2
111,20,Alonso Rodriguez,PER,3,5
112,20,Miguel de Gainza,PER,10,13
113,20,1.500 maravedis,MON,14,16
114,20,calle Santo Domingo,LOC,27,30
115,20,Triana,LOC,33,34
116,21,Julian Rodriguez,PER,0,2
117,21,Miguel de Gainza,PER,4,7
118,21,750 maravedis,MON,8,10
119,22,Pedro Montañes,PER,0,2
120,22,Sevilla,LOC,7,8
121,22,Diego de Arroyo,PER,14,17
122,22,7.480 maravedis,MON,18,20
123,22,Miguel de Gainza,PER,29,32
124,22,Diego de Arroyo,PER,36,39
125,22,Sancho de Minjares,PER,43,46
126,23,Miguel de Gainza,PER,0,3
127,23,Juan de Almao,PER,4,7
128,23,Hernando Salguero,PER,8,10
129,23,Diego Sanchez,PER,11,13
130,23,Bernardino Perez,PER,18,20
131,24,Miguel de Gainza,PER,0,3
132,24,Juan Cavello,PER,6,8
133,24,Bartolome Ruiz,PER,9,11
134,24,Juan de Figueroa,PER,12,15
135,24,Pedro de Campos,PER,16,19
136,24,Juan de Esquivel,PER,20,23
137,24,Juanes de Abaasquita,PER,24,27
138,24,Diego de Alcaraz,PER,28,31
139,24,Luis Tello,PER,32,34
140,24,Bartolome de Areguas,PER,35,38
141,24,Alonso Ximenez,PER,39,41
142,24,Diego de Palacios,PER,42,45
143,24,Francisco Hernandez,PER,46,48
144,24,Domingo Suarez,PER,49,51
145,24,Diego Martinez,PER,52,54
146,24,Miguel Perez,PER,55,57
147,24,Alonso Ruiz,PER,58,60
148,24,Santa Iglesia,ORG,64,66
149,24,Sevilla,LOC,67,68
150,24,Pedro de Valdes,PER,73,76
151,24,Hernando de Molina,PER,83,86
152,24,Agustin de Palma,PER,88,91
153,24,Granada,LOC,94,95
154,24,Tristan de Calvete,PER,98,101
155,25,Juan de Gainza,PER,0,3
156,25,Miguel de Gainza,PER,6,9
157,25,Juana de Medina,PER,14,17
158,25,Sevilla,LOC,20,21
159,25,collacion de Santa Maria,LOC,23,27
160,25,Lorenzo del Bao,PER,30,33
161,25,1567,DATE,38,39
162,26,diego de riaño,PER,1,4
163,26,santa yglesia,ORG,11,13
164,26,Sevilla,LOC,14,15
165,26,juan de escalante,PER,31,34
166,26,santa yglesia,ORG,63,65
167,26,Sevilla,LOC,66,67
168,26,doze mil maravedis,MON,68,71
169,26,santa yglesia,ORG,79,81
170,26,quinientos e treinta e dos,MON,97,102
171,26,santa yglesia,ORG,122,124
172,26,arcos,LOC,169,170
173,26,xeres de la frontera,LOC,178,182
174,26,carmona,LOC,187,188
175,26,aracena,LOC,189,190
176,26,pedro de mayda,PER,248,251
177,26,doze mil maravedis,MON,254,257
178,27,de R.,PER,1,3
179,27,Sevilla,LOC,6,7
180,27,Rodrigo de Simancas,PER,11,14
181,27,Carmona,LOC,17,18
182,27,Portugal,LOC,39,40
183,28,Juan de Santander,PER,0,3
184,28,Juan de Matencio,PER,7,10
185,28,Diego de Riaño,PER,11,14
186,28,Sevilla,LOC,19,20
187,28,Juan de Escalante,PER,29,32
188,28,ocho mil maravedis,MON,33,36
189,29,de R.,PER,1,3
190,29,Sevilla,LOC,8,9
191,29,Juan de Escalante,PER,13,16
192,30,Cabildo y Regimiento,ORG,9,12
193,30,Sevilla,LOC,13,14
194,30,diez mil maravedis,MON,16,19
195,30,Jerez de la Frontera,LOC,30,34
196,30,Cabildo de,ORG,46,48
197,30,Sevilla,LOC,48,49
198,30,plaça de sant francisco,LOC,59,63
199,31,Juan Lorenzo,PER,5,7
200,31,Diego de Riaño,PER,19,22
201,31,Santa Iglesia,ORG,30,32
202,31,Sevilla,LOC,33,34
203,32,Juan Picardo,PER,3,5
204,32,Pedro Portugues,PER,12,14
205,32,cinco ducados de oro,MON,17,21
206,32,Juan de Murga,PER,23,26
207,32,siete ducados de oro,MON,29,33
208,32,Cristobal Gonzalez,PER,35,37
209,32,tres ducados y medio de oro,MON,40,46
210,33,Juan de Escalante,PER,0,3
211,33,Diego de Riaño,PER,9,12
212,33,Juan Picardo,PER,19,21
213,33,Martin de Gainza,PER,23,26
214,34,Martin de Otamendi,PER,3,6
215,34,Sevilla,LOC,11,12
216,34,Alonso Perez de la Bolsa,PER,17,22
217,34,iglesia mayor de Aracena,ORG,26,30
218,34,diez y ocho mil maravedis,MON,31,36
219,35,Pedro de Veranga Montañes,PER,8,12
220,35,Alonso Veranga,PER,15,17
221,35,Colindres,LOC,20,21
222,36,Garcia de Buelna,PER,9,12
223,36,Fernan Gonzalez de Sancho,PER,15,19
224,36,Corzales,ORG,23,24
225,36,valle de Buelna,LOC,28,31
226,37,Juan de Vallejo,PER,9,12
227,37,valle de Toranzo,LOC,15,18
228,38,Fernan ?,PER,7,9
229,38,Vargas,PER,10,11
230,38,Simon de Vargas,PER,14,17
231,38,Toledo,LOC,20,21
232,39,Pedro del Lorrio,PER,7,10
233,39,Elorrio,LOC,16,17
234,39,Condado de Vizcaya,LOC,18,21
235,40,Martin de Oñate,PER,7,10
236,40,Martin de Osinaga,PER,13,16
237,40,Oñate,LOC,22,23
238,41,Fernando de la Tella,PER,7,11
239,41,Bejar del Castañal,LOC,17,20
240,42,Pedro de Riaño,PER,0,3
241,42,Riaño,LOC,10,11
242,42,Trasmiera,LOC,15,16
243,42,Diego de Riaño,PER,22,25
244,42,cuarenta y dos ducados de oro,MON,26,32
245,43,Juan Picardo,PER,3,5
246,43,Martin de Gainza,PER,10,13
247,43,Sevilla,LOC,18,19
248,44,Martin de Gainza,PER,0,3
249,44,Catedral de,ORG,12,14
250,44,Sevilla,LOC,14,15
251,44,Juan Picardo,PER,17,19
252,44,Diego de Riaño,PER,25,28
253,44,Blas Alonso,PER,38,40
254,45,Diego de Riaño,PER,5,8
255,45,Valladolid,LOC,11,12
256,45,27 de noviembre,DATE,13,16
257,45,Martin de Gainza,PER,21,24
258,45,Juan Picardo,PER,29,31
259,45,Santa Iglesia,ORG,42,44
260,45,Sevilla,LOC,45,46
261,45,monasterio de San Francisco,ORG,48,52
262,45,Carmona,LOC,58,59
263,45,Arcos,LOC,60,61
264,45,Aracena,LOC,62,63
265,45,Aroche,LOC,64,65
266,45,Aznalcollar,LOC,66,67
267,46,Juan de Hornedo,PER,0,3
268,46,Riaño,LOC,6,7
269,46,Diego de Riaño,PER,14,17
270,46,Juan de Escalante,PER,20,23
271,46,36.750 maravedis,MON,24,26
272,47,Juan de Hornedo,PER,0,3
273,47,Riaño,LOC,6,7
274,47,Lucia Gonzalez,PER,11,13
275,47,Elvira Gonzalez,PER,15,17
276,47,Maria Fernandez,PER,19,21
277,47,Juan de Cabañuela,PER,23,26
278,47,Juana,PER,28,29
279,47,Pedro de Hornedo,PER,31,34
280,47,Maria Cabañuela,PER,37,39
281,47,Juan de Hornedo,PER,42,45
282,47,Diego de Riaño,PER,48,51
283,47,Martin de Gainza,PER,56,59
284,47,Catedral sevillana,ORG,69,71
285,47,Rodrigo del Canto,PER,73,76
286,47,Juan de Jerez,PER,78,81
287,48,Cristobal de barrasa,PER,1,4
288,48,bartolome de viscarra,PER,11,14
289,48,castillo de triana,ORG,16,19
290,48,leon,LOC,39,40
291,48,puebla de alcocer,LOC,44,47
292,48,santa iglesia,ORG,140,142
293,48,sevilla,LOC,143,144
294,49,maestre Cristobal,PER,1,3
295,49,sevilla,LOC,7,8
296,49,collacion de santa maria madalena,LOC,10,15
297,49,juan fernandes de castro,PER,21,25
298,49,collacion de san salvador,LOC,29,33
299,49,monesterio de san francisco,ORG,53,57
300,49,juan fernandes,PER,438,440
301,49,juan fernandes,PER,575,577
302,49,juan fernandes de castro,PER,622,626
303,49,dia de fianças buenas y abonadas,DATE,932,938
304,49,juan fernandes de castro,PER,942,946
305,49,luis sanches,PER,969,971
306,49,juan de medina,PER,972,975
307,49,juan fernandes,PER,981,983
308,49,maestre Cristobal,PER,984,986
309,49,juan fernandes,PER,1003,1005
310,49,Cristobal treinta y ocho mil y setecientos y cincuenta,PER,1007,1016
311,49,Sevilla,LOC,1035,1036
312,49,25 de mayo de 1528,DATE,1037,1042
313,49,Firmas,PER,1043,1044
314,49,Juan de Limpias,PER,1048,1051
315,50,Cristobal garcia,PER,1,3
316,50,Cristobal garcia,PER,6,8
317,50,gomez garcia,PER,22,24
318,51,20 de julio,DATE,1,4
319,51,3.000 maravedis,MON,14,16
320,52,Sebastian garcia,PER,1,3
321,52,juan de los reyes,PER,11,15
322,52,francisco de sandoval,PER,30,33
323,52,monesterio de san francisco,ORG,35,39
324,52,pedro de los angeles,PER,59,63
325,52,claustro de carpinteria,LOC,70,73
326,52,pedro de los angeles,PER,107,111
327,52,convento de san francisco,ORG,115,119
328,52,sevilla,LOC,120,121
329,52,claustro de la porteria,LOC,619,623
330,52,Sebastian garcia,PER,1002,1004
331,52,cuatro ducados,MON,1059,1061
332,52,novecientos ducados,MON,1102,1104
333,52,pedro de los angeles,PER,1108,1112
334,52,Sebastian garcia,PER,1115,1117
335,52,Mateo de Vergara,PER,1125,1128
336,52,Juan de Ojeda,PER,1129,1132
337,52,Sevilla,LOC,1137,1138
338,53,juan marin,PER,1,3
339,53,Sevilla,LOC,6,7
340,53,collacion de san roman,LOC,9,13
341,53,baltasar del rio,PER,22,25
342,53,escalas,LOC,27,28
343,53,santa iglesia,ORG,31,33
344,53,sevilla,LOC,34,35
345,53,santa iglesia,ORG,60,62
346,53,sevilla,LOC,63,64
347,53,quinientos maravedis,MON,372,374
348,53,juan marin,PER,382,384
349,53,Diego de Cabrera,PER,409,412
350,53,Alonso Lopez,PER,413,415
351,53,Sevilla,LOC,420,421
352,54,Cristobal de horosco,PER,1,4
353,54,pedro ximenes,PER,7,9
354,54,sanlucar la mayor,LOC,15,18
355,54,juan gonzalez,PER,20,22
356,54,asnalcaçar,LOC,28,29
357,54,monesterio de nuestra señora de la vitoria,ORG,39,46
358,54,asnalcaçar,LOC,51,52
359,54,dos de veynte e nueve,DATE,105,110
360,54,calle real,LOC,457,459
361,55,alonso ortis,PER,1,3
362,55,seuilla,LOC,7,8
363,55,collacion de san alonso,LOC,10,14
364,55,geronimo de carriedo,PER,23,26
365,55,monesterio de san pablo,ORG,28,32
366,55,convento de sant pablo,ORG,73,77
367,55,Jhendo,PER,636,637
368,55,calle de el medio,LOC,2108,2112
369,55,dexe linpio,PER,2400,2402
370,55,puerta de el medio,LOC,2698,2702
371,55,Alonso Ortiz,PER,2978,2980
372,55,Diego Fernandez,PER,2981,2983
373,55,Pedro Pablo,PER,2984,2986
374,55,Alonso Fernandez Cano,PER,2987,2990
375,55,Lorenzo Fernandez,PER,2991,2993
376,55,90.000 maravedis,MON,2999,3001
377,56,Sebastian rodriguez pavon,PER,1,4
378,56,seuilla,LOC,7,8
379,56,collacion de sant vicente,LOC,10,14
380,56,garcia fustanero,PER,23,25
381,56,seuilla,LOC,35,36
382,56,castilla,LOC,751,752
383,56,once mil maravedis,MON,1094,1097
384,56,Bartolome Lopez,PER,1100,1102
385,56,Juan Rodriguez,PER,1103,1105
386,56,Diego Hernandez,PER,1109,1111
387,57,10 de enero de 1519,DATE,1,6
388,57,doce ducados de oro,MON,13,17
389,58,Alonso de Medina,PER,5,8
390,58,Sevilla,LOC,11,12
391,58,collacion de Santa Maria,LOC,14,18
392,58,Monasterio de San Francisco,ORG,25,29
393,59,diego sanches,PER,1,3
394,59,Sevilla,LOC,6,7
395,59,collacion de santa maria,LOC,9,13
396,59,pedroso,LOC,29,30
397,59,dozientos e veinte e cinco mil maravedis,MON,53,60
398,59,pedro de castellanos,PER,84,87
399,59,sevilla,LOC,92,93
400,59,veinte e seis dias del mes de hebrero de mil e quinientos e cinquenta e seis,DATE,94,110
401,59,quarenta y quatro pies,MON,172,176
402,59,bobeda,LOC,193,194
403,59,treinta y seis pies,MON,315,319
404,59,reboque de cal,PER,1240,1243
405,59,manposteria de ladrillo,PER,1293,1296
406,59,sasonar la tierra,PER,1825,1828
407,59,manposteria de media,PER,2155,2158
408,59,manposteria suhan,PER,2275,2277
409,59,reboque de cal blanca,PER,2420,2424
410,59,Juan Beltran,PER,2457,2459
411,59,Hernando Esteban,PER,2460,2462
412,59,Diego Beltran,PER,2463,2465
413,59,Pedro Hernandez,PER,2466,2468
414,59,Hernan Gomez,PER,2469,2471
415,59,Diego Sanchez,PER,2472,2474
416,59,Pedro Blascoen,PER,2476,2478
417,59,21 de hebrero de 1556,DATE,2479,2484
418,59,diego sanchez,PER,2494,2496
419,59,225.000 maravedis,MON,2499,2501
420,60,5 de agosto de este año,DATE,1,7
421,60,300 ducados,MON,13,15
422,61,Toribio de Alcaraz,PER,0,3
423,61,Luis de Reolid,PER,9,12
424,61,Alcaraz,LOC,15,16
425,62,Juan Beltran,PER,0,2
426,62,iglesia de S. Salvador,ORG,15,19
427,62,Sevilla,LOC,20,21
428,63,Hernando Esteban,PER,0,2
429,63,Benito de Morales,PER,8,11
430,63,iglesia de S. Vicente,ORG,28,32
431,63,Sevilla,LOC,33,34
432,64,Alonso Gonzalez,PER,0,2
433,64,Juan Fernandez,PER,6,8
434,64,iglesia de La Campana,ORG,21,25
435,65,Alonso Gonzalez,PER,0,2
436,65,Pedro Blasco,PER,8,10
437,65,Alonso Gonzalez,PER,11,13
438,65,Gerena,LOC,32,33
439,66,Lorenzo Gonzalez,PER,0,2
440,66,iglesia de S. Pedro de Beas,ORG,15,21
441,67,Pedro Martin,PER,0,2
442,67,Martin Sanchez,PER,8,10
443,67,Juan Ruiz,PER,11,13
444,67,iglesia de Castilblanco,ORG,33,36
445,68,Cristobal de Morales,PER,0,3
446,68,Sanlucar la Mayor,LOC,8,11
447,68,Francisco Diaz,PER,17,19
448,68,Monasterio de la Concepcion,ORG,22,26
449,68,S. Juan de la Palma,ORG,28,33
450,68,Sevilla,LOC,35,36
451,68,3650 maravedis,MON,40,42
452,68,Monasterio,ORG,64,65
453,69,Bartolome Moreno,PER,0,2
454,69,Diego Beltran,PER,8,10
455,69,iglesia de Castilleja del Campo,ORG,27,32
456,70,Anton Perez,PER,0,2
457,70,Arjonilla,LOC,7,8
458,70,M.a Fernandez,PER,14,16
459,70,Pedro Gonzalez de Ucles,PER,21,25
460,70,Bartolome Sanchez,PER,27,29
461,70,Iglesia de Sta,ORG,48,51
462,71,Juan Perez Caravallo,PER,0,3
463,71,Miguel Gomez,PER,6,8
464,71,Iglesia de Cantillana,ORG,30,33
465,72,Diego Rodriguez,PER,0,2
466,72,Alonso Hernandez,PER,8,10
467,72,Anton Rodriguez,PER,11,13
468,72,Hospital del Rey,ORG,30,33
469,72,Sevilla,LOC,35,36
470,73,Manuel Rodriguez,PER,0,2
471,73,Monasterio de la Concepcion,ORG,17,21
472,73,S. Juan de la Palma,ORG,24,29
473,73,Sevilla,LOC,31,32
474,74,Pedro Rodriguez,PER,0,2
475,74,Juan Bernal,PER,8,10
476,74,Alonso Martinez,PER,11,13
477,74,Monasterio del Nombre de Jesus,ORG,30,35
478,74,collacion de S. Vicente,LOC,38,42
479,74,Sevilla,LOC,44,45
480,75,Bartolome Ruiz,PER,0,2
481,75,Alonso Ruiz,PER,5,7
482,75,Manzanilla,LOC,22,23
483,76,Bartolome Ruiz,PER,0,2
484,76,Alonso Ruiz,PER,5,7
485,76,iglesia de S. Lorenzo,ORG,23,27
486,76,Sevilla,LOC,29,30
487,77,Juan Sanchez,PER,0,2
488,77,Sevilla,LOC,11,12
489,77,Baltasar de Almansa,PER,18,21
490,77,280 ducados,MON,25,27
491,77,iglesia de S. Bartolome,ORG,38,42
492,77,Sevilla,LOC,44,45
493,78,Diego de la Torre,PER,0,4
494,78,Diego Beltran,PER,10,12
495,78,Los Palacios,LOC,34,36
496,79,Diego de la Torre,PER,0,4
497,79,Lorenzo Hernandez,PER,10,12
498,79,Antonio de Rioja,PER,13,16
499,79,iglesia de Cala,ORG,33,36
500,80,gaspar del aguila,PER,0,3
501,80,sevilla,LOC,8,9
502,80,collacion de san marcos,LOC,11,15
503,80,gil muñoz,PER,25,27
504,80,marchena,LOC,32,33
505,80,quinze dias del mes de febrero primero que viene... dandome,DATE,109,120
506,80,doze ducados,MON,121,123
507,81,andres de angulo,PER,0,3
508,81,alfaro,LOC,17,18
509,81,cinco mil e ochocientos e setenta e cinco maravedis,MON,19,28
510,81,cuarenta e siete ducados,MON,34,38
511,82,roque de balduz,PER,0,3
512,82,seuilla,LOC,9,10
513,82,collacion de santa maria madalena,LOC,12,17
514,82,antonio de alfian,PER,19,22
515,82,collacion de san juan,LOC,29,33
516,82,alonso despinosa,PER,51,53
517,82,collacion de santa maria,LOC,59,63
518,82,iglesia de santa maria madalena,ORG,98,103
519,82,seuilla,LOC,107,108
520,82,alonso despinosa,PER,224,226
521,82,dia de pascua de navidad primero que viene deste año,DATE,308,318
522,82,treinta mil maravedis,MON,333,336
523,82,Juan Ramirez,PER,345,347
524,82,Anton Sanchez,PER,348,350
525,82,Roc de Baldoc,LOC,355,358
526,83,andres ramires,PER,0,2
527,83,Sevilla,LOC,5,6
528,83,san miguel,LOC,7,9
529,83,roque de balduque,PER,22,25
530,83,onivn,LOC,40,41
531,83,veinte e tres ducados,MON,52,56
532,83,treinta e cuatro ducados,MON,60,64
533,83,roque de balduque,PER,73,76
534,84,roque de balduque,PER,0,3
535,84,andres ramires,PER,10,12
536,84,iglesia de san lloreynte,ORG,30,34
537,84,seuilla,LOC,37,38
538,84,seuilla,LOC,53,54
539,84,treinta y cuatro ducados de oro,MON,72,78
540,84,Roque de Boldoque,PER,84,87
541,85,andres ramirez,PER,0,2
542,85,roque de balduque,PER,31,34
543,85,iglesia de san lloreynte,ORG,65,69
544,85,cincuenta e siete ducados,MON,76,80
545,85,roque de balduque,PER,94,97
546,86,antonio de alfian,PER,0,3
547,86,iglesia de rota,ORG,13,16
548,86,roque balduque,PER,26,28
549,86,iglesia de rota,ORG,42,45
550,86,veinte e tres ducados,MON,48,52
551,86,roque balduque,PER,69,71
552,87,andres ramirez,PER,0,2
553,87,iglesia de santa marina,ORG,12,16
554,87,seuilla,LOC,20,21
555,87,roque balduque,PER,30,32
556,87,collacion de la madalena,LOC,38,42
557,87,iglesia de la madalena,ORG,70,74
558,87,cincuenta e siete ducados,MON,97,101
559,88,andres ramires,PER,0,2
560,88,roque de balduque,PER,28,31
561,88,iglesia de san roman,ORG,41,45
562,88,iglesia de santa marina,ORG,55,59
563,88,treinta y cuatro ducados,MON,69,73
564,88,veinte e tres ducados,MON,94,98
565,88,roque de balduque,PER,106,109
566,88,roque de balduque,PER,166,169
567,89,andres ramires,PER,0,2
568,89,roque de balduque,PER,20,23
569,89,iglesia de san nicolas,ORG,36,40
570,89,seuilla,LOC,44,45
571,89,cincuenta e siete ducados,MON,48,52
572,89,roque de balduque,PER,70,73
573,90,andres ramires,PER,0,2
574,90,roque de balduque,PER,28,31
575,90,seuilla,LOC,33,34
576,90,iglesia de san gil,ORG,43,47
577,90,seuilla,LOC,52,53
578,90,ocho mil maravedis,MON,60,63
579,91,roque de balduque,PER,0,3
580,91,seuilla,LOC,9,10
581,91,collacion de santa maria madalena,LOC,12,17
582,91,santa iglesia,ORG,30,32
583,91,seuilla,LOC,33,34
584,91,lazaro martines de coçar,PER,36,40
585,91,seuilla,LOC,49,50
586,91,puerto de santa maria,LOC,81,85
587,91,lazaro martines,PER,118,120
588,91,fin del mes de hebrero primero,DATE,129,135
589,91,veinte e ocho mil maravedis,MON,156,161
590,91,Andres Ramirez,PER,169,171
591,91,Roque,PER,177,178
592,92,roque de balduque,PER,0,3
593,92,seuilla,LOC,9,10
594,92,collacion de san andres,LOC,12,16
595,92,santa iglesia,ORG,35,37
596,92,seuilla,LOC,41,42
597,92,lazaro martines de coçar,PER,45,49
598,92,seuilla,LOC,58,59
599,92,iglesia de san,ORG,96,99
600,92,seuilla,LOC,104,105
601,92,dia de nuestra señora del mes de agosto primero que viene de mil e quinientos e cincuenta e nueve,DATE,146,165
602,92,quinientos ducados de oro,MON,172,176
603,92,Andres Ramirez,PER,182,184
604,92,Pedro de Villegas,PER,185,188
605,92,Sevilla,LOC,193,194
606,92,collaciones de San Miguel,LOC,196,200
607,92,San Martin,LOC,201,203
608,92,Roque de Bordoque,PER,206,209
609,93,pedro de bezerril,PER,0,3
610,93,ospital de señor san roque,ORG,17,22
611,93,collacion de san lloreynte,LOC,27,31
612,93,santiago del espada,LOC,33,36
613,93,juan diaz prieto,PER,39,42
614,93,fin del mes de marzo primero,DATE,87,93
615,93,tres ducados de oro,MON,106,110
616,93,Antonio Sanchez,PER,142,144
617,93,Salvador,LOC,151,152
618,94,pedro de bezerril,PER,0,3
619,94,iglesia de san bartolome,ORG,13,17
620,94,iglesia de san bartolome,ORG,44,48
621,94,fin del mes de abril primero,DATE,70,76
622,94,ocho ducados,MON,91,93
623,94,Francisco Sanchez,PER,99,101
624,95,pedro de bezerril,PER,0,3
625,95,seuilla,LOC,9,10
626,95,collacion de la madalena,LOC,12,16
627,95,francisco sanches,PER,21,23
628,95,seuilla,LOC,29,30
629,95,collacion de santa maria,LOC,32,36
630,95,casaluenga,LOC,64,65
631,95,pedro de bezerril,PER,95,98
632,95,antonio del corro,PER,101,104
633,95,santa iglesia,ORG,107,109
634,95,seuilla,LOC,110,111
635,95,santa iglesia,ORG,118,120
636,96,alonso de escalona,PER,0,3
637,96,plazencia,LOC,9,10
638,96,seuilla,LOC,16,17
639,96,baltasar del rio,PER,32,35
640,96,dia del mes de henero primero que viene,DATE,56,64
641,96,año del señor de mil e quinientos e treinta e seis años,DATE,66,78
642,96,seis ducados de oro,MON,136,140
643,96,Plasencia,LOC,153,154
644,97,pedro de heredia,PER,0,3
645,97,seuilla,LOC,9,10
646,97,collacion de santa maria magdalena,LOC,12,17
647,97,alonso fernandes batihoja,PER,27,30
648,97,seuilla,LOC,36,37
649,97,collacion de santa maria,LOC,39,43
650,97,monesterio de san francisco,ORG,73,77
651,97,rodrigo alvares,PER,83,85
652,97,dia de san miguel del mes de setienfere,DATE,123,131
653,97,doze mil maravedis,MON,160,163
654,97,alonso fernandes,PER,176,178
655,97,pedro de heredia,PER,181,184
656,97,alonso fernandes,PER,200,202
657,98,pedro de heredia,PER,0,3
658,98,seuilla,LOC,9,10
659,98,collacion de la magdalena,LOC,12,16
660,98,fabrica de santa luzia,ORG,21,25
661,98,seuilla,LOC,29,30
662,98,seuilla,LOC,52,53
663,98,iglesia de santa luzia,ORG,68,72
664,98,veinte ducados de oro,MON,99,103
665,98,seis ducados recibidos,MON,118,121
666,98,Pedro de Villegas,PER,124,127
667,98,San Martin,LOC,132,134
668,99,Alonso Maldonado,PER,12,14
669,100,niculao jurate,PER,0,2
670,100,bartolome de ortega,PER,18,21
671,100,bartolome de ortega,PER,65,68
672,100,doze ducados de oro,MON,113,117
673,101,nicolas jurate,PER,0,2
674,101,seuilla,LOC,8,9
675,101,collacion de santa maria,LOC,11,15
676,101,nufio de ortega,PER,25,28
677,101,seuilla,LOC,35,36
678,101,collacion de santa maria,LOC,38,42
679,101,iglesia de,ORG,73,75
680,101,triana,LOC,77,78
681,101,nufio de ortega,PER,87,90
682,101,nicolas jurate,PER,114,116
683,101,santana de triana,PER,128,131
684,101,nufio de ortega,PER,132,135
685,101,nicolas jurate,PER,151,153
686,101,nicolas jurate,PER,163,165
687,101,nufio de ortega,PER,172,175
688,101,ortega doze ducados,PER,387,390
