,docid,string,start,end,tokenloc,tokentext,entlabel,edit_short
202,2733,juan de uzeda,70,73,73,castroberde,PER,1
203,2751,juan de uzeda,49,52,52,castroberde,PER,1
204,2765,alonso rramires,97,99,100,luego,PER,0
205,2765,baltasar quintero,101,103,100,luego,PER,0
206,2768,pedro de torres,58,61,61,arrutia,PER,1
207,2778,Felipe de Rivas,3,6,6,figura,PER,0
208,2791,rrodrigo ortiz de la barrera,38,43,36,cobrar,PER,0
209,2815,Juan Lorenzo,223,225,222,canteria,PER,0
210,2854,juan de ufeda,63,66,66,castroberde,PER,1
211,2854,miguel gomes,68,70,66,castroberde,PER,0
212,2862,juan de uzeda,0,3,3,castroberde,PER,1
213,2863,juan de uzeda,0,3,3,castroberde,PER,1
214,2864,juan de uzeda,0,3,3,castroberde,PER,1
215,2865,juan de uzeda,0,3,3,castroberde,PER,1
216,2866,juan de uzeda,0,3,3,castroberde,PER,1
217,2868,juan de uzeda,0,3,3,castrouerde,PER,1
218,2870,Joan de uceda,0,3,3,castrouerde,PER,1
219,2871,juan de uzeda,0,3,3,castroberde,PER,1
220,2871,alonfo cano,136,138,138,porque,PER,0
221,2872,juan de uzeda,0,3,3,castroberde,PER,1
222,2873,juan de uzeda,0,3,3,castroberde,PER,1
223,2873,alonso cano,146,148,144,suegro,PER,0
224,2874,juan bautista de uzeda,0,4,4,castroberde,PER,1
225,2874,juan de uzeda,19,22,22,castroberde,PER,1
226,2882,pedro calderon,15,17,13,reciuo,PER,0
227,2883,francisco barela,54,56,56,sigue,PER,0
228,2893,jusephe antonio,0,2,3,trece,PER,0
229,2909,francisco pacheco,38,40,37,patrono,PER,0
230,2910,geronimo velazquez,95,97,98,buena,PER,0
231,2930,alonso briseño de herrera,23,27,21,cobrar,PER,0
232,2952,francisco ruys,23,25,25,regero,PER,0
233,2990,pedro moreno,34,36,32,obligados,PER,0
234,2990,elbira maldonado,360,362,362,porque,PER,0
235,3019,Alº fanchez Gordillo,3,6,2,licendo,PER,0
236,3019,Catalina de fandoual,92,95,96,luego,PER,0
237,3038,martin ssanchez,166,168,168,capellan,PER,0
238,3046,S. M.,15,17,18,personas,PER,0
239,3049,Gabriel Gomez,74,76,77,luego,PER,0
240,3081,francisco de molina,245,248,248,manda,PER,0
241,3082,juan rrodriguez de castro,100,104,104,manda,PER,0
242,3100,diego de falzedo,21,24,19,fuegro,PER,0
243,3101,diego de sauzedo,22,25,20,suegro,PER,0
244,3109,juan del busto,22,25,26,mendosa,PER,1
245,3117,luis de porras,408,411,411,noriegas,PER,1
246,3117,lauriano pacheco,1399,1401,1401,porque,PER,0
247,3122,fernando martin,51,53,53,mascareña,PER,1
248,3131,francisco de ocampo,87,90,86,porque,PER,0
249,3167,Amaro Vazquez,1,3,0,Figura,PER,0
250,3219,martines montañes de Ufanqui,3,7,2,ffernando,PER,0
251,3226,miguel adan,22,24,20,fuegro,PER,0
252,3239,gaspar del aguila,333,336,332,porque,PER,0
253,3266,rrodrigo nabarro,45,47,47,correo,PER,0
254,3274,rroque de balduque,151,154,150,porque,PER,0
255,3279,anton caluo,61,63,60,porque,PER,0
256,3280,juan bautista,89,91,91,porque,PER,0
257,3288,gaspar delgado,153,155,152,barro,PER,0
258,3289,juan bernal de heredia,13,17,17,escrib,PER,0
259,3326,juan bautista basquez,202,205,206,cuerpo,PER,0
260,3326,gaspar nunez,348,350,350,recibo,PER,0
261,3346,francisco armijo,38,40,36,cobrar,PER,0
262,3358,mariana de uera,268,271,271,porque,PER,0
263,3383,rrodrigo de santillan,19,22,22,alguazil,PER,0
264,3404,juana de cuñiga,119,122,122,marquesa,PER,0
265,3410,antonio del corro,57,60,56,licendo,PER,0
266,3410,antonio del corro,185,188,189,figura,PER,0
267,3416,Gaspar del Aguila,4,7,3,fecha,PER,0
268,3418,bautista,842,843,841,maestre,PER,0
269,3418,bautista,1857,1858,1856,maestre,PER,0
270,3418,bautista,2087,2088,2086,maestre,PER,0
271,3418,bautista,2447,2448,2446,maestre,PER,0
272,3418,sancho martinez de leyba,2763,2767,2768,contia,PER,0
273,3419,sancho martinez de leyba,46,50,51,consejo,PER,0
274,3423,pedro de morga,141,144,139,banco,PER,0
275,3427,pedro,265,266,266,despinosa,PER,1
276,3444,juan de uillafranca,30,33,28,cobrar,PER,0
277,3450,diego arias,30,32,32,atalaya,PER,1
278,3451,miguel geronimo,123,125,121,cobrar,PER,0
279,3463,juan bautista,42,44,44,caseis,PER,0
280,3483,gaspar del aguila,27,30,25,cobrar,PER,0
281,3484,Rodrigo albarez lobo,47,50,45,cobrar,PER,0
282,3501,maria enrriques,50,52,52,marquesa,PER,0
283,3501,pedro despinosa,1164,1166,1166,banco,PER,0
284,3517,gome sapata,85,87,88,consejo,PER,0
285,3519,beatriz de serbantes,508,511,511,porque,PER,0
286,3519,beatriz de serbantes,643,646,642,porque,PER,0
287,3521,catalina sanches,14,16,17,alcaçar,PER,1
288,3524,juan sanches,137,139,136,porque,PER,0
289,3530,pedro basquez,32,34,30,cobrar,PER,0
290,3541,gines martin,99,101,97,cobrar,PER,0
291,3569,pedro de canpaña,1,4,0,maestre,PER,0
292,3570,pedro de canpaña,1,4,0,maestre,PER,0
293,3571,pedro de canpania,1,4,0,maestre,PER,0
294,3573,pedro de canpania,1,4,0,maestre,PER,0
295,3580,pedro campaña,15,17,14,maestre,PER,0
296,3580,pedro,42,43,41,maestre,PER,0
297,3580,pedro,42,43,44,porque,PER,0
298,3592,antonio belez de alcoger,18,22,22,maioral,PER,0
299,3599,francisco hernandes,31,33,33,casero,PER,1
300,3611,gaspar gutierres del Paramo,38,42,42,porque,PER,0
301,3616,francisco rruyz,116,118,115,españa,PER,0
302,3618,xpoval Ramires,80,82,82,quiero,PER,0
303,3621,diego perez,44,46,42,cobrar,PER,0
304,3631,Melchor Perez,299,301,302,figura,PER,0
305,3639,mateo peres,287,289,286,porque,PER,0
306,3640,diego de montoya,370,373,368,cobrar,PER,0
307,3642,fernandez de mendosa,392,395,390,heran,PER,0
308,3657,gaspar del aguila,43,46,47,cuerpo,PER,0
309,3660,juan garcia,10,12,8,recibo,PER,1
310,3677,gregorio bermudo,24,26,22,cobrar,PER,0
311,3682,martin de avila,31,34,29,cobrar,PER,0
312,3682,juan de saucedo,69,72,72,estan,PER,0
313,3711,catalina,9,10,10,destrada,PER,1
314,3723,pedro de morga,140,143,138,banco,PER,0
315,3723,juan de arregui,144,147,147,banco,PER,0
316,3731,juan merino,4,6,6,despinosa,PER,1
317,3753,juan fernandes,71,73,69,fueron,PER,0
318,3753,catalina,75,76,76,destrada,PER,1
319,3753,juan merino,276,278,278,despinosa,PER,1
320,3754,juan merino,31,33,33,despinosa,PER,1
321,3767,luisa ordoñes,193,195,192,porque,PER,0
322,3786,Arzobispo Mena,34,36,32,mortales,PER,0
323,3789,ana de çuñiga,1,4,4,marquesa,PER,0
324,3793,Jeronimo Hernandez,456,458,454,llama,PER,0
325,3794,hernando hordoñez,37,39,35,destrada,PER,0
326,3795,luisa ordoñez,121,123,120,fecha,PER,0
327,3795,juan de aguilar,457,460,461,luego,PER,0
328,3797,luisa ordoñez,88,90,87,porque,PER,0
329,3799,juan,30,31,28,cobrar,PER,1
330,3802,luisa ordoñez,440,442,442,luego,PER,0
331,3814,geronima,1,2,2,destrada,PER,1
332,3822,francisco rruis,26,28,24,obligados,PER,0
333,3833,basco de perea,11,14,9,obligados,PER,0
334,3835,antonia de sandobal,114,117,117,porque,PER,0
335,3836,duque de medina,13,16,11,cobrar,PER,1
336,3884,juan bautista,32,34,34,despindola,PER,1
337,3889,diego lopez bueno,53,56,52,firma,PER,0
338,3900,miguel cano,55,57,54,luego,PER,0
339,3940,francisco morales,26,28,28,capellan,PER,0
340,3949,juan batanes,99,101,98,maestre,PER,0
341,3996,diego ponce,15,17,17,escrib,PER,0
342,3996,geronimo hernandez,213,215,212,luego,PER,0
343,4018,alonso caro,109,111,111,cristin,PER,1
344,4022,pedro de lara,41,44,44,guardian,PER,0
345,4027,beatris de belasco y suñiga,11,16,16,marquesa,PER,0
346,4027,juan martinez montañes,121,124,124,segun,PER,0
347,4041,diego de urbina,45,48,43,cobrar,PER,0
348,4050,diego de los santos,260,264,264,luego,PER,0
349,4078,juan tello,21,23,19,cobrar,PER,0
350,4085,cosme lescano,31,33,33,fecha,PER,0
351,4100,andres de ocanpo,0,3,148,meses,PER,0
352,4103,xpobal gutierrez,27,29,25,cobrar,PER,0
353,4126,francisco de ocanpo,31,34,34,caseis,PER,0
354,4144,andres salcedo de cuerba,29,33,34,consejo,PER,0
355,4148,luis ortiz de bargas,1417,1421,1415,meses,PER,0
356,4157,miguel carton,30,32,28,cobrar,PER,0
357,4169,juan de obiedo,0,3,179,meses.-,PER,0
358,4174,alonso hernandez,49,51,47,cobrar,PER,0
359,4181,geronima delgado,37,39,41,billa,PER,0
360,4187,blanca enrriquez,54,56,56,marquesa,PER,0
361,4202,juan garcia,19,21,17,cobrar,PER,0
362,4220,pedro de musques,25,28,23,cobrar,PER,0
363,4239,simon de pineda,42,45,45,luego,PER,0
364,4239,diego de la torre,125,129,123,fueron,PER,1
365,4246,diego de carmona,0,3,3,arquero,PER,0
366,4255,martin de arratia,23,26,26,guardian,PER,0
367,4261,juan de austria,58,61,61,fecha,PER,0
368,4263,pedro,178,179,179,armado,PER,0
369,4278,gaspar del aguila,19,22,17,cobrar,PER,0
370,4296,baltasar,148,149,149,baron,PER,1
371,4296,baltasar,240,241,241,baron,PER,1
372,4296,baltasar,260,261,261,baron,PER,1
373,4296,Baltasar Baron,525,527,527,porque,PER,0
374,4296,Bartolome Muñoz,555,557,554,menos,PER,0
375,4296,Juan Bautista Vazquez,598,601,597,precio,PER,0
376,4304,pedro de morga,44,47,47,banquero,PER,0
377,4319,juan bautista,73,75,75,billalpando,PER,1
378,4329,juan de herrera,43,46,41,cobrar,PER,0
379,4330,andres de ocanpo,17,20,15,canteria,PER,0
380,4330,alonso de bandelbira,79,82,83,precio,PER,0
381,4334,diego de alsedo,86,89,89,porque,PER,0
382,4351,alonso arias alguazil,9,12,14,uilla,PER,0
383,4387,lorenzo de montesdoca,2,5,5,patrono,PER,0
384,4390,miguel de aguirre,117,120,121,lienço,PER,0
385,4393,juan de uzeda,3,6,6,castroberde,PER,1
386,4431,andres de la higuera,10,14,14,alguazil,PER,0
387,4432,basco pereira,4,6,2,salzedo,PER,0
388,4497,geronimo belasques,168,170,167,cobrar,PER,0
389,4498,diego ramires,45,47,47,escrib,PER,0
390,4502,juan sanchez moro,23,26,21,cobrar,PER,0
391,4506,maria de rrojas,1,4,4,recibo,PER,0
392,4507,ana de billegas,188,191,191,porque,PER,0
393,4534,andres de ocanpo,13,16,12,terceros,PER,0
394,4544,francisca de leon,149,152,152,porque,PER,0
395,4544,gaspar de S. eliseo,239,243,243,manda,PER,0
396,4549,rrodrigo de almansa,22,25,20,cobrar,PER,0
397,4555,diego gomes de ortega,0,4,4,capellan,PER,0
398,4562,catalina de sandobal,65,68,69,luego,PER,0
399,4567,anton sanchez,19,21,17,cobrar,PER,0
400,4568,felipe basquez de ureta,38,42,36,cobrar,PER,0
401,4578,juan bta gonçales,37,40,35,cobrar,PER,0
402,4583,juan bautista,25,27,23,cobrar,PER,0
403,4607,alonso de nobela,9,12,12,maestre,PER,0
404,4615,alonso fernandez de mora,6,10,4,fueron,PER,0
405,4618,diego de saabedra faxardo,9,13,14,consejo,PER,0
406,4625,Lusia,81,82,82,damiano,PER,1
407,4673,Andrés de Lazo,31,34,34,Destrada,PER,1
408,4727,Catalina de Vega,98,101,101,fueron,PER,0
409,4752,Bernardo de Escalante,41,44,40,padrino,PER,0
410,4753,Francisco de Arteaga,24,27,22,paternos,PER,0
411,4864,MARTÍN DE ATIENZA,0,3,6,carbón,PER,0
412,4923,Bartolomé de Puya,36,39,34,cobrar,PER,0
413,4946,Juan de Monzón,79,82,77,cobrar,PER,0
414,4967,DOMINGO ANTONIO BEJARANO,17,20,16,cuanto,PER,0
415,4968,DOMINGO ANTONIO BEJARANO,35,38,33,cobrar,PER,0
416,5036,Francisco Antonio de la Calle,82,87,87,ambos,PER,0
417,5037,CARLOS FRANCISCO DE LA CALLE,21,26,19,cuerpo,PER,0
418,5086,Antonio Vicente Bravo,19,22,22,capellán,PER,0
419,5087,Antonio Vicente Bravo,19,22,22,capellán,PER,0
420,5088,Antonio Vicente Bravo,32,35,35,capellán,PER,0
421,5089,Antonio Vicente Bravo,20,23,23,capellán,PER,0
422,5090,Antonio Vicente Bravo,19,22,22,capellán,PER,0
423,5091,Antonio Vicente Bravo,15,18,18,capellán,PER,0
424,5092,Antonio Vicente Bravo,22,25,25,capellán,PER,0
425,5095,Antonio Vicente Bravo,22,25,25,capellán,PER,0
426,5096,Antonio Vicente Bravo,15,18,18,capellán,PER,0
427,5127,Bernardo Vicente de Morales,484,488,489,cuenta,PER,0
428,5200,Antonia Guerido,199,201,198,presto,PER,0
429,5288,BERNARDO SIMÓN DE PINEDA,19,23,18,padrino,PER,0
430,5293,Pedro de Medina Valbuena,19,23,18,padrino,PER,0
431,5304,ANDRÉS MONTERO,24,26,23,padrino,PER,0
432,5315,Fernando Virabedra de Paz,81,85,86,consejo,PER,0
433,5316,Antonio de Monsalve,22,25,26,consejo,PER,0
434,5364,Antonio de Monsalve,20,23,24,consejo,PER,0
435,5365,Antonio de Monsalve,20,23,24,consejo,PER,0
436,5366,Femando Virabedra de Paz,75,79,80,consejo,PER,0
437,5367,Antonio de Monsalve,20,23,24,consejo,PER,0
438,5442,Fernando Jiménez Begaro,71,74,69,cobrar,PER,0
439,5448,Pedro Rodríguez de la Natera,98,103,96,cobrar,PER,0
440,5499,Jerónimo de Larda,399,402,398,llama,PER,0
441,5528,ALONSO PÉREZ,38,40,41,ahora,PER,0
442,5534,Luis Rodríguez,13,15,11,obligador,PER,0
443,5585,BARTOLOMÉ FERNÁNDEZ DE LEÓN,19,23,17,cobrar,PER,0
444,5586,BARTOLOMÉ ERNANDEZ,0,2,5,media,PER,0
445,5610,Juan de Coltrera,8,11,11,arquero,PER,0
446,5622,Tomasa de Espejo,6,9,9,bendita,PER,0
447,5624,Tomasa de Espejo,53,56,56,bendita,PER,0
448,5624,Tomasa,127,128,128,bendita,PER,0
449,5637,BLAS DE ESCOBAR,61,64,60,cuanto,PER,0
450,5642,Pedro Moreno,39,41,37,obligados,PER,0
451,5642,Elvira Maldonado,162,164,164,porque,PER,0
452,5707,Ciprion Coruchi,166,168,168,zapatero,PER,0
453,5709,BARTOLOMÉ FRANCO DE LEÓN,5,9,9,antes,PER,0
454,5790,DIEGO GARCÍA DE MELGAREJO,0,4,5,cónsul,PER,0
455,5794,DIEGO GARCÍA DE MELGAREJO,0,4,7,cónsul,PER,0
456,5795,DIEGO GARCÍA DE MELGAREJO,0,4,5,cónsul,PER,0
457,5839,Pablo,102,103,101,llama,PER,0
458,5839,Manuel Gande,112,114,114,cajero,PER,0
459,5855,JUAN DE ARROYO,16,19,14,cuerpo,PER,0
460,5880,JUAN DE VALDÉS,70,73,73,apreciado,PER,0
461,5928,María Navaro,45,47,47,fueron,PER,0
462,5974,Sebastián Fernández,54,56,52,cobrar,PER,0
463,5976,Francisco García Falla,156,159,159,recibo,PER,0
464,5980,Francisco García Falla,279,282,283,precio,PER,0
465,5983,Antonio Gómez,52,54,50,cobrar,PER,0
466,5986,Diego Gutiérrez,103,105,105,ambos,PER,0
467,5989,Bartolomé,9,10,10,-faranco,PER,1
468,6060,Francisco Roesti,43,45,42,padrino,PER,0
469,6083,Salvador de Cardenas,39,42,38,padrino,PER,0
470,6148,PEDRO ROLDÁN,19,21,18,padrino,PER,0
471,6150,PEDRO ROLDÁN,18,20,17,padrino,PER,0
472,6174,Juan de Ledesma,31,34,29,cobrar,PER,0
473,6183,Francisco Muñoz,30,32,28,cobrar,PER,0
474,6269,Sebastián Camucho,42,44,40,cobrar,PER,0
475,6304,PEDRO DE BORJA,44,47,42,cobrar,PER,0
476,6329,Cristóbal del Campo,36,39,34,cobrar,PER,0
477,6341,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
478,6342,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
479,6343,Francisco Benites,44,46,42,cobrar,PER,0
480,6344,Atanacio Pasqual de Bobadilla,16,20,21,consejo,PER,0
