,token,score,match
152,ynserto,73,nero
153,enlençados,71,elena
154,puto,80,puerto
155,ondo,80,ovando
156,puñal,89,puyal
157,distribuido,70,tribulzio
158,servicio.Fecho,64,federico
159,brosa,89,rosa
160,quente,83,puente
161,Plato,89,pato
162,presedido,82,resendio
163,vagamente,78,agramonte
164,gragera,100,gragera
165,hexten,73,huete
166,colorada,80,cortada
167,reparo,73,reart
168,hallando,80,callado
169,ultimar,73,lima
170,yrla,67,yebra
171,uvieremos,67,verdes
172,tubado,83,ubaldo
173,1626,0,dessi
174,unicos,77,juanico
175,Ruuia,75,uiña
176,lisas,80,linas
177,neceffario,67,nario
178,gocemos,73,goes
179,hallasen,77,halen
180,comentada,75,cortada
181,concedido,78,concepcio
182,siguiente--,78,sirviente
183,hermano.mi,67,hernando
184,resuresion,67,resendio
185,cerja,80,ceria
186,porciones,82,moriones
187,perolas,92,perlas
188,pabellon,86,bellon
189,"75,000",17,ab-ach
190,ferbicio,80,felicio
191,igualare,77,igual
192,trenza,91,tenza
193,garantia,86,gartia
194,vondad,73,ronda
195,valentía,88,valentina
196,ysauel,83,samuel
197,manifico,77,manco
198,.-josepe,92,josephe
199,deftotraparte,64,bonaparte
200,alcor,83,alcover
201,tronpesones,67,troncon
202,abiendonos,67,bedos
203,inventario,67,intriago
204,hicieran,71,cerain
205,silla,89,illa
206,perpetuamente,67,perez-valiente
207,illtres,80,millares
208,enfermerias,74,ferreras
209,china,89,chia
210,551,0,dessi
211,rriefgo,83,riego
212,rreszibo,67,urresti
213,comidos,77,comino
214,cuadernas,82,cardenas
215,bordado,83,borda
216,arquitectonicos,64,reconco
217,--junio,89,juni
218,determinados,67,tribaldos
219,troça,89,troya
220,Duos,86,dos
221,traueta,77,strata
222,oydos,80,hoyos
223,combengo,77,combe
224,comensandolo,67,constanzo
225,gouernar,80,gournay
226,Haciendo,77,acedo
227,alxecira,75,valencia
228,artifices,71,aries
229,disceño,73,diego
230,quifiere,71,quiers
231,randa,91,granda
232,copada,80,coaña
233,confomidad,67,coromina
234,gierolificos,60,gricelis
235,zaquizamies,67,alquiza
236,extracto,67,beraton
237,enrrequisidos,67,erquiñigo
238,vendiera,80,verdier
239,fagale,73,fages
240,descala,92,escala
241,scritura,71,sacristan
242,Pilato,80,pato
243,illuminadas,71,llinas
244,481,0,dessi
245,bautista-,100,bautista
246,desistirse,71,sistare
247,aprecien,75,reciente
248,setienbre,80,setien
249,trasdosses,71,grasses
250,graciofa,86,gracia
251,apreciase,71,arias
252,edificaren,67,echauren
253,halamos,92,alamos
254,quauto,71,torquato
255,Hernan,100,hernan
256,Gro,86,grao
257,sagrario,86,sarrio
258,Otorgante,80,trante
259,nefefarias,75,fariñas
260,adornatos,80,donato
261,Ardo,89,dardo
262,ayuntamiento,67,sarmiento
263,Pinta,89,pita
264,presentes,75,parente
265,mordura,83,moura
266,colexio,77,coleti
267,rrex,75,rexe
268,arriba-,92,arribas
269,fatiga,83,artiga
270,admirados,71,miras
271,limpie,77,limpias
272,rreciuire,67,freire
273,orilla,86,morillas
274,descalzas,80,escala
275,estrenaron,74,estarrona
276,myenbros,71,yegros
277,mandamtoD,75,candamo
278,contraido,88,conrado
279,conoció,80,coci
280,propuesta,80,proust
281,joseffe,83,josef
282,arquiterto,78,quintero
283,ligados,80,obligado
284,enbestida,75,bastida
285,enbarcadas,78,barradas
286,caueza,83,cabeza
287,cobinillos,80,conchillos
288,cantarranas,86,cantabrana
289,gobiernan,80,bierna
290,Andaluzia,82,sandalia
291,sitial,73,siria
292,traher,83,traver
293,prometia,77,romea
294,aconpañados,71,conrado
295,henchimiento,63,eximeno
296,tiempos,71,tiepolo
297,tomandolo,75,manzolo
298,llevada,73,vada
299,casarlos,86,carlos
300,guena,83,baguena
301,acoplando,80,olando
302,petisiones,75,peison
303,home,89,homem
304,cobrallo.Juan,67,corvalan
305,arbol,91,arbiol
306,piramide,71,pamies
307,ynterbenzion,63,benzoni
308,ocasionare,71,casares
309,pillaricos,75,larios
310,ygleffia,67,iglesia
311,Olivares,100,olivares
312,offizial,71,soffia
313,banquillas,74,arenillas
314,averdugandolos,67,verdugo
315,petoral,83,peral
316,corresponsal,67,corona
317,viexosyten,74,villesten
318,trespasarle,62,ressa
319,yñigo,75,yago
320,malisiosamente,64,passante
321,uanquillo,78,ronquillo
322,colunes,83,coles
323,enjavelgar,67,navel
324,enbarrotados,70,barroeta
325,ezamen,73,hamen
326,acierras,80,maceras
327,sesta,80,sesma
328,cerchones,80,cerone
329,tadeo,100,tadeo
330,assimesmo,67,asiego
331,linpiar,73,piar
332,rretulo,77,urrelo
333,perjuro,77,perrot
334,prendimiento,70,pimienta
335,rrematen,71,arrate
336,cansino,100,cansino
337,justicias,94,justicia
338,testó,89,testa
339,varitas,83,vitas
340,celebraron,75,lebron
341,chaçelo,83,chalon
342,consicion,80,consolacion
343,Rostros,80,mostaros
344,otorge,73,torme
345,raices,80,ries
346,bienes.-,80,ines
347,estopa,86,estopiñan
348,debereis,71,febres
349,iga,86,viga
350,auian,80,abuin
351,andubiesen,62,adrien
352,traza-,80,riaza
353,chapa,89,capa
354,impreso,77,presno
355,haciendole,67,acedo
356,olivar,100,olivar
357,Vuestra,77,vuelta
358,puntillas,75,pinilla
359,mnes,80,mandes
360,piden,73,arpide
361,honorio,100,honorio
362,socorrer,80,socorro
363,cerro,100,cerro
364,rrexero,75,carretero
365,conuerna,82,consuegra
366,Silla,89,illa
367,inprimar,71,irizar
368,consiguiente,67,cifuentes
369,Baras,91,bargas
370,rrecevir,62,ferreiro
371,señaladamente,70,sanclemente
372,asesorios,75,ossorio
373,rrecebidas,67,cereceda
374,paresido,77,pares
375,dirigido,67,rodrigo
376,costoso,77,cossio
377,matrimonio,82,marimon
378,trefientos,71,trevino
379,zanto,80,canto
380,perdonamos,82,perdomo
381,dha,67,das
382,referidos,71,remedios
383,cristin,93,cristian
384,filetones,71,leone
385,yguala,83,gualba
386,trinydad,88,trindade
387,trespilares,78,pilares
388,año.-,80,cao
389,rano,89,ruano
390,ceffion,67,ceferina
391,procure,71,pourret
392,aparejadores,74,paredes
393,duos,86,dos
394,berdugadas,82,bergada
395,enriquesimiento,67,henriques
396,Dosientas,67,orcasitas
397,barco,100,barco
398,travajo,83,trava
399,rriberas,86,rieras
400,caurº,75,coçar
401,qupo,80,queipo
402,vacios,73,vacas
403,reboque,83,roque
404,abad,100,abad
405,escojida,75,escorcia
406,pu,80,pou
407,22,0,dessi
408,medirlo,83,merlo
409,pyntadas,75,montadas
410,nonbramientos,70,barrientos
411,plassa,77,passano
412,aprendiz,78,armendariz
413,denmedio,75,benedito
414,Figura,92,figuera
415,cayados,77,casado
416,ganaba,86,ganzabal
417,abiendosela,74,albendea
418,andenes,86,badenes
419,capitán,77,campino
420,palizada,80,calzada
421,canonigos,75,antonio
422,informadome,74,normande
423,fundamentos,71,dameto
424,rreferido,71,ceferino
425,cabecero,86,cabero
426,entoces,71,torices
427,ssmo,75,seso
428,pilares,100,pilares
429,proter,83,porter
430,yda,75,yedra
431,Nacimiento,74,sarmiento
432,marabedises,74,marrades
433,ochabo,83,chabot
434,revocando,75,redondo
435,bufetillo,82,bustillo
436,copiar,80,coçar
437,corvetones,82,corones
438,Traslado,75,regalado
439,sugetandome,67,gaetano
440,conquello,82,conxello
441,estallando,75,salado
442,ssefenta,71,serena
443,aserlo,77,anselmo
444,lado,89,llado
445,escribir,80,escriba
446,condisior,71,dionisio
447,uecino,80,rudecindo
448,quarton,82,quarteroni
449,20000,0,dessi
450,metere,83,mestre
451,rrossario,88,rosario
452,tunja,73,altuna
453,urdoñes,73,urosa
454,rescibiere,71,riviere
455,.siete,73,estete
456,ocurre,77,pourret
457,era,86,eura
458,cerraja,77,cearra
459,tornallo,80,toralla
460,raido,80,prado
461,cernido,80,carniado
462,estimación,71,restaino
463,entregallo,74,bentallol
464,claues,92,clauses
465,quiñce,73,quiles
466,vyllas,73,villa
467,iVdxxxi,50,rivadavia
468,refresquen,71,requena
469,finalise,71,falset
470,nuebos,83,nueros
471,escuros,88,escuderos
472,cruzados,93,cruzado
473,sepo,75,seso
474,res,86,ares
475,gozando,77,ovando
476,eligiere,75,peligero
477,meses.[De,71,mieses
478,doblado,80,obligado
479,bos,86,baños
480,tomaron,86,tamaron
481,fallesziere,70,ballester
482,quedaren,71,vaquedano
483,cajetas,83,cajes
484,majares,93,manjares
485,embarotado,75,maroto
486,trecieo,92,treceño
487,juron,80,jiron
488,325,0,dessi
489,Rejero,83,tejero
490,Restastis,71,restaino
491,Que,86,quer
492,vyene,73,hovyne
493,rescibi,71,escriba
494,rubricado)=Joseph,58,serrador
495,gostando,80,tostado
496,dp,57,dupuy
497,adorasion,71,arañon
498,planas,91,lanas
499,atanasio,100,atanasio
500,.batizo,80,bazo
501,anafesyten,63,ayesteran
502,tintura,73,titu
503,brazaletes,75,bañales
504,oyas,75,goya
505,concezion,84,concepcion
506,terzal,80,terça
507,mandando,82,candanedo
508,thomamos,86,thomas
509,resiprocando,74,ripando
510,entretenido,67,centeno
511,uisente,77,puente
512,alhañeria,75,claveria
513,usar,80,usauro
514,facilitada,67,filicaia
515,pags,89,pages
516,relievo,77,eliseo
517,Va,80,val
518,restan,100,restan
519,fustan,91,fusta
520,planchon,80,palanco
521,condi¬ciones,71,oncins
522,cobredes,75,cobreros
523,Rebelado,80,belando
524,reeligido,75,remigio
525,inexcusables,63,casales
526,consignado,71,cansino
527,archidona,100,archidona
528,aguijas,83,aguas
529,benefizio,75,benicio
530,iluminador,74,vilamador
531,visibles,77,siles
532,preftamo,78,prestamero
533,estimando,71,restaino
534,tardase,73,aras
535,vbe,67,bes
536,cazorla,77,azofra
537,aseo,86,aso
538,amanecio,93,amancio
539,picadas,77,pradas
540,encargar,77,eagar
541,22.000,17,ab-ach
542,bicaria,80,biscardi
543,leste,80,leyte
544,fabricador,78,labrador
545,naçimiento,78,sarmiento
546,ygualmente,71,galeote
547,resquentas,82,requena
548,Encarganfe,78,narganes
549,rodapiés,83,rodas
550,bacinillas,80,barcenilla
551,basqueta,82,arasqueta
552,cherubines,78,rubianes
553,debamos,73,baños
554,conbenydos,71,coniedo
555,Ropajes,77,roales
556,diuidir,62,dupire
557,enterrada,88,terrada
558,sexta,80,saeta
559,aparexadas,75,pradas
560,plazer,73,pilar
561,heno,89,henao
562,confiertos,78,conforto
563,cochinito,67,comino
564,asistia,80,sasiesta
565,cossidos,86,cossio
566,rretener,71,forrester
567,mandose,77,mandes
568,parare,83,parreño
569,alimanescas,78,almansa
570,Salomón,92,salomon
571,melcochada,71,moncada
572,parescio,77,pares
573,nublados,71,llados
574,heraje,80,hera
575,picolas,86,nicolas
576,aumentado,75,armenta
577,baratas,92,barata
578,Leocadia,75,lecuanda
579,arenal,91,arnal
580,descombinieren,67,desmaissieres
581,Cabritos,80,cabries
582,clerigos,75,cervigon
583,trayendola,74,mirandola
584,bibimos,73,ibio
585,mercaderías,78,mercadal
586,meter,89,meer
587,fontispicios,64,montesinos
588,caoba,80,cabra
589,decender,75,decraene
590,gonceados,71,granados
591,Andres,100,andres
592,diziernan,67,hernan
593,temiendome,67,mendo
594,maceticas,80,macias
595,terno,83,ternero
596,prosiguio,75,perosio
597,bajar,80,bejar
598,defunción,75,alduncin
599,conplida,71,colina
600,medio,80,mendo
601,enseño,80,penso
602,sses.fernan,80,fernandes
603,rubricado)-Luis,58,pedro-luis
604,corrales,100,corrales
605,Cumplieremos,70,cumplido
606,ancona,86,anacaona
607,Cortes,100,cortes
608,agostin,93,agostino
609,cardenas,100,cardenas
610,biexas,73,briñas
611,modeñin,77,modenes
612,Reliquias,74,melquiades
613,conbenistis,62,benit
614,rratificamos,63,arratia
615,conociamos,70,conchillos
616,.Santa,83,basanta
617,coge,80,conget
618,Libros,77,riberos
619,generalidad,67,fuensalida
620,componer,80,compañon
621,315,0,dessi
622,sts,75,sotos
623,destameña,77,estaña
624,ynterior,67,tenorio
625,realzadas,82,regalada
626,honrras,77,morras
627,descalzo,93,escalzo
628,apremiare,75,remirez
629,satisfaccion,64,visitacion
630,pasé,86,peñas
631,incorporarla,67,copola
632,alfragias,71,arias
633,Escribir,80,escriba
634,multiplicada,63,mutiloa
635,"177,935",15,ab-ach
636,senado,77,segundo
637,arriendo,88,carriedo
638,ronpedizas,67,ronza
639,bibido,80,ibio
640,seso,100,seso
641,abanillos,84,cabanilles
642,inmueble,62,mourelle
643,llaues,92,llaudes
644,cayeron,83,cañero
645,autorisado,71,tostado
646,rostro,77,rosuero
647,penitencia,71,benicia
648,ensanblaxe,63,santibañez
649,96,0,dessi
650,histriadas,71,estrada
651,maeftre,77,maitre
652,gateado,80,gastaldo
653,ella,89,bella
654,2249,0,dessi
655,#,0,dessi
656,constase,86,costas
657,desclavado,78,delagado
658,execion,67,xijon
659,cornizita,71,corta
660,uer,86,quer
661,Segun,91,seguin
662,promesas,86,presas
663,aberdugarlas,74,berdura
664,rrestan,92,restan
665,salgado,100,salgado
666,toquen,77,oquendo
667,mosquitero,78,mosquera
668,solene,73,skene
669,.500,0,dessi
670,rehichiendolo,64,rudecindo
671,certificado,71,criado
672,Nisa,100,nisa
673,poseedora,71,oseguera
674,muela,83,lamuela
675,adereços,77,andres
676,gallardia,88,gallard
677,euthiquio,78,eustaquio
678,azeto,73,dameto
679,pusiesemos,62,simoes
680,dirigida,67,trinida
681,paguedes,80,paredes
682,firmada,77,armada
683,conpartimientos,67,sarmiento
684,apañaduras,71,padua
685,disipulos,67,siculo
686,comprehender,67,colmenero
687,suppco,67,sabuco
688,peñas,100,peñas
689,tasamos,77,alamos
690,subida,83,subira
691,tasandolo,71,sandoval
692,inscricion,71,scipion
693,Sala,100,sala
694,computaron,82,compañon
695,acrecientan,74,reciente
696,docte,73,idoate
697,enryquecer,71,enrique
698,deroque,83,roque
699,acabandolos,74,caballos
700,fregenal,100,fregenal
701,dotan,80,cotan
702,-ajes,89,cajes
703,boluere,77,bourke
704,doze,86,doz
705,presta,91,resta
706,estampados,71,sampaio
707,retoquelo,75,requeno
708,questoi,71,urresti
709,prebendados,67,peinado
710,declaramos,75,claros
711,Removiendo,75,oviedo
712,sygund,77,segundo
713,yncinias,80,encinas
714,cauefas,77,cuevas
715,pajaritos,75,pajaron
716,decentes,75,reciente
717,traslado,75,regalado
718,ferrado,100,ferrado
719,relacion,77,recio
720,vimos,75,imo
721,sacandoles,71,secades
722,trauaxayten,63,rabuyate
723,zapatos,77,zapata
724,santisteban,100,santisteban
725,Ensamblador,74,salvador
726,1683,0,dessi
727,grosor,83,grosso
728,semobientes,74,eminente
729,Dignidad,75,trinidad
730,cantiad,80,carniado
731,cano,100,cano
732,"2,000",18,ab-ach
733,abirsi,73,brusi
734,magaña,100,magaña
735,Arrendamiento,73,sarmiento
736,sertificasion,72,purificacion
737,mercedarias,74,mercedes
738,refablo,77,rabelo
739,extorsiones,74,moriones
740,nessesidad,62,messia
741,habre,80,albre
742,Aroca,91,daroca
743,prosecucion,67,perosio
744,seraphines,71,serapio
745,celadas,92,celada
746,ramal,89,rama
747,perfesionado,74,peinado
748,blanquee,93,blanque
749,artillero,84,ladrillero
750,casamientos,80,sarmiento
751,ocupación,71,occina
752,exsaminador,71,amador
753,quissiere,67,wisser
754,xarcia,83,garcia
755,desligado,88,delgado
756,aquesta,80,aulestia
757,tenesca,77,seneca
758,paredilla,88,padilla
759,ynsertos,71,nueros
760,suple,73,sodupe
761,enclauado,75,claudio
762,prouehera,75,rourera
763,cumplimyento,74,climent
764,aliento,80,valiente
765,pastoras,93,pastors
766,sanefa,73,sande
767,llenar,86,lleonart
768,quadren,77,adrien
769,vacas,100,vacas
770,documento,75,drument
771,partición,80,aparici
772,escripturas,74,escarras
773,Registrado,74,reginaldo
774,ra,80,rua
775,bautizada,75,bastida
776,encubrira,75,ezcurra
777,administrando,70,capistrano
778,otorgaredes,71,torres
779,Requerir,75,ezquerra
780,codisilo,77,cosio
781,ciud,86,cid
782,E,67,de
783,plafon,77,palafox
784,encarne,77,carner
785,evangelista,100,evangelista
786,"71,335",17,ab-ach
787,caufadas,86,cañadas
788,escrittº,71,escriba
789,moldee,83,moldes
790,unte,80,puente
791,asegure,77,seguer
792,coronan,92,corona
793,perfilelo,80,periel
794,inconueniente,61,corrientes
795,anzi,75,lanz
796,desea,80,seseña
797,cossa,89,cosa
798,simiento,82,sarmiento
799,Resibo,77,restivo
800,basquez,100,basquez
801,colgon,91,colon
802,Sacre,100,sacre
803,limpiamente,74,pimentel
804,sennor,83,seneor
805,salteados,80,salado
806,afiansaremos,67,finestres
807,acostadas,80,costas
808,olivas,91,oliva
809,lindos,92,lindoso
810,granillo,88,granello
811,sobrecama,67,oramas
812,comenzado,75,conrado
813,diligencyas,63,liencres
814,depablos,86,pablos
815,d,67,du
816,passion,83,assin
817,om,80,oms
818,irebocable,71,recalde
819,concabidad,71,moncada
820,virtud,83,virtus
821,lleuauan,71,lezaun
822,Judío,75,tudo
823,davades,77,davide
824,trazar,73,aznar
825,relixioso,75,reinoso
826,creian,80,cean
827,adezarlo,77,adaro
828,soleras,92,solera
829,justicia,100,justicia
830,afufena,71,baguena
831,tafacion,77,tacon
832,pagandole,71,pagan
833,lleuare,77,learte
834,.-pedro,100,pedro
835,bieren,83,bierna
836,desistimos,67,dessi
837,ejecutado,67,enjuta
838,condifion,67,condamine
839,maesto,91,maeso
840,arruga,92,larruga
841,genro,91,genaro
842,Defunto,67,bento
843,aprobechamiento,67,sarmiento
844,demostrazion,70,demetrio
845,ygualare,77,guale
846,forrada,86,forcada
847,mandamtss,71,armadams
848,420,0,dessi
849,privilegio,75,priego
850,mazari,86,mazarino
851,Resanar,77,restan
852,   ,0,dessi
853,materna,86,matrera
854,sabed,80,isabe
855,acabasen,80,cabases
856,sobredhos,75,sobrado
857,sobresta,80,soroeta
858,Martirio,86,martir
859,ganareis,75,manjares
860,leyes,100,leyes
861,calzon,83,carlon
862,Rescibo,83,recio
863,ynstituida,62,stuñiga
864,pondra,77,ondarza
865,celebrado,71,lerdo
866,añadieron,75,calderon
867,Concesion,84,concepcion
868,conozcan,77,conca
869,sacaron,80,escatron
870,serrojo,86,berrojo
871,escuse,92,escluse
872,resaltandolas,70,bretandona
873,pufible,67,uribe
874,ttdo,75,tito
875,aviendose,75,avendaño
876,obligarle,71,obligado
877,tungar,73,ugart
878,celebradas,78,cernadas
879,cobrarse,77,cobar
880,enrriquezer,84,enriquez
881,deMariana,88,demaria
882,nombrarme,67,hombre
883,23000,0,dessi
884,Execute,67,escut
885,Recibió,73,recio
886,hasen,80,hazen
887,Destrada,93,estrada
888,Padrino,93,pandrino
889,nombrar,71,lombera
890,arçobispado,75,rosado
891,Bodegoncillos,70,conchillos
892,Flamencos,80,mencos
893,rescibieron,71,ribero
894,disminuciones,64,mucientes
895,falto,91,faltos
896,toscos,77,moscoso
897,valgan,77,algarin
898,arçovispado,75,rosado
899,fronteras,82,conteras
900,arquitabes,75,arques
901,Campofrio,100,campofrio
902,papelera,71,perera
903,almiresyten,70,palmireno
904,sa,100,sa
905,vecindad,80,veciana
906,ilmo,86,imo
907,Montañas,93,montadas
908,Sr.,67,saro
909,necessarios,67,nemesio
910,flautas,77,latras
911,lateral,77,lastra
912,ceribando,82,crisando
913,enviar,80,viar
914,enpeffar,62,gener
915,},0,dessi
916,maZ,86,mazo
917,delos,75,los
918,carisea,86,cariñena
919,sesma,100,sesma
920,b,50,bay
921,conciertos,74,ontiveros
922,conocedor,75,coniedo
923,togas,80,tomas
924,nonbraredes,74,monardes
925,rematar,73,reta
926,jusgando,67,juanico
927,fortisima,80,frisia
928,santissimo,84,santisima
929,Restauración,74,restaino
930,seglar,77,segarra
931,rehenes,77,orenes
932,publico,77,pulido
933,aparejado,80,parado
934,comenzamos,74,comenares
935,guantos,80,guarinos
936,mercería,77,perera
937,comprometemos,67,comontes
938,conbinieren,70,bonnieres
939,redacta,73,reta
940,aderezallos,74,perellos
941,carguen,77,carmen
942,entera,86,renteria
943,reyno,83,reynoso
944,mansevos,77,manso
945,paredes,100,paredes
946,moldurita,71,moura
947,satisfación,67,santisteban
948,berastegui,100,berastegui
949,Santísima,94,santisima
950,Cabanas,92,cabañas
951,festones,71,finestres
952,mañuela,92,manuela
953,mas,100,mas
954,estrado,86,estrada
955,ensayada,75,encalada
956,siervo,77,sillero
957,hesimos,77,simoes
958,aprovechamiento,70,provecho
959,enbernyzadas,70,bernarda
960,enzinas,100,enzinas
961,valía,89,valda
962,escofinar,75,escobar
963,fotabafa,71,tabaka
964,espina,100,espina
965,madera,100,madera
966,solamecte,75,solarte
967,solares,100,solares
968,altare,80,alta
969,manifatura,75,maniau
970,-,0,dessi
971,escurecido,71,escardo
972,dispuso,67,duaso
973,falutassion,71,tasson
974,verde,100,verde
975,añyde,89,aydie
976,ochauos,73,chao
977,creminales,82,criales
978,ordenadas,75,ordeñana
979,talon,100,talon
980,sabia,91,sabina
981,profeguir,67,rogier
982,reverendisimo,67,resendio
983,ramos,100,ramos
984,encargue,80,echague
985,carnero,100,carnero
986,biguittas,67,guibas
987,rota,89,crota
988,altas,89,alas
989,jefus,80,jesus
990,entresacamos,67,trespalacios
991,obediente,71,reciente
992,enzamblador,71,amador
993,capitulado,71,casildo
994,ymaxeneria,75,manera
995,catholicissima,61,caupolica
996,sauidos,77,salido
997,bacio,100,bacio
998,bazios,80,baños
999,tanjara,73,jara
1000,apartamos,80,paramo
1001,herillas,80,hervias
1002,ofizial,62,osilia
1003,recibimiento,70,reciente
1004,extramuros,67,entrambosrrios
1005,tomase,91,tomas
1006,ornado,86,coronado
1007,atajos,77,castaños
1008,Duque,100,duque
1009,pesito,80,eito
1010,seguía,91,segura
1011,Dormido,77,dorado
1012,benus,80,benos
1013,rresaltes,75,rosales
1014,toscana,86,toscano
1015,barbirrojo,71,berrojo
1016,fontisficio,70,bonifacio
1017,Dicha,73,ichaso
1018,bauticé,71,bautista
1019,argolletas,74,marcoleta
1020,Jossefe,83,josef
1021,arsediano,80,sedano
1022,idea,80,videla
1023,pareciere,75,parcero
1024,saetas,91,saeta
1025,azotea,73,aztal
1026,carrilo,93,carrillo
1027,igual,100,igual
1028,apocalipsi,67,calis
1029,proueyolo,75,pozuelo
1030,est,75,sesti
1031,lision,91,lison
1032,abiendolo,78,attendolo
1033,anbrofio,75,ambrosio
1034,corroidas,78,corominas
1035,çiertos,83,rieros
1036,excelente,71,celestre
1037,savidor,80,salvador
1038,thenudos,67,enguidanos
1039,cunplieredes,67,piñeres
1040,aplome,71,palomero
1041,lahazer,67,hazen
1042,tuviera,83,viera
1043,testada,92,estada
1044,mension,86,mienson
1045,ecencion,75,ascencio
1046,berberisca,75,berris
1047,destinaba,71,esteibar
1048,proffeso,71,presno
1049,embarcado,75,machado
1050,sosegada,71,posada
1051,gonse,80,gonde
1052,fenestrales,80,finestres
1053,Arquiteto,75,marquet
1054,ducientas,78,lucientes
1055,filium,73,feliu
1056,becina,83,lecina
1057,verdugo,100,verdugo
1058,solegne,77,seigne
1059,instituyo,67,restituto
1060,reuocado,77,recaño
1061,comensados,74,comenares
1062,Casilda,100,casilda
1063,detrás,75,der
1064,tarimita,71,armida
1065,rreciuo,83,recio
1066,predico,77,peredo
1067,enfanblador,67,afandor
1068,Igualmente,71,galeote
1069,rrestituyan,71,restan
1070,pascual,100,pascual
1071,tablas,86,tablares
1072,sobrinas,86,sobiñas
1073,monda,91,moneda
1074,perjuicios,67,erquiñigo
1075,aserrar,83,serra
1076,vajilla,83,villa
1077,conduciones,71,oncins
1078,canpo,89,cano
1079,aberla,83,abella
1080,hierramienta,76,ferrament
1081,Regulado,88,regalado
1082,caliente,88,valiente
1083,mexilla,86,melilla
1084,medo,89,mendo
1085,pudiendolo,63,rudecindo
1086,oye,75,hoyer
1087,murió,89,mauri
1088,copiaremos,71,pilares
1089,juridicion,73,purificacion
